DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,DT_POSSE,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGA
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AC,AC,ACRE,3,Governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AC,AC,ACRE,4,Vice-governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AC,AC,ACRE,5,Senador,2
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AC,AC,ACRE,6,Deputado Federal,8
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AC,AC,ACRE,7,Deputado Estadual,24
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AC,AC,ACRE,9,1. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AC,AC,ACRE,10,2. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AL,AL,ALAGOAS,3,Governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AL,AL,ALAGOAS,4,Vice-governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AL,AL,ALAGOAS,5,Senador,2
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AL,AL,ALAGOAS,6,Deputado Federal,9
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AL,AL,ALAGOAS,7,Deputado Estadual,27
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AL,AL,ALAGOAS,9,1. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AL,AL,ALAGOAS,10,2. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AM,AM,AMAZONAS,3,Governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AM,AM,AMAZONAS,4,Vice-governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AM,AM,AMAZONAS,5,Senador,2
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AM,AM,AMAZONAS,6,Deputado Federal,8
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AM,AM,AMAZONAS,7,Deputado Estadual,24
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AM,AM,AMAZONAS,9,1. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AM,AM,AMAZONAS,10,2. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AP,AP,AMAPÁ,3,Governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AP,AP,AMAPÁ,4,Vice-governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AP,AP,AMAPÁ,5,Senador,2
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AP,AP,AMAPÁ,6,Deputado Federal,8
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AP,AP,AMAPÁ,7,Deputado Estadual,24
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AP,AP,AMAPÁ,9,1. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,AP,AP,AMAPÁ,10,2. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,BA,BA,BAHIA,3,Governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,BA,BA,BAHIA,4,Vice-governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,BA,BA,BAHIA,5,Senador,2
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,BA,BA,BAHIA,6,Deputado Federal,39
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,BA,BA,BAHIA,7,Deputado Estadual,63
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,BA,BA,BAHIA,9,1. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,BA,BA,BAHIA,10,2. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,CE,CE,CEARÁ,3,Governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,CE,CE,CEARÁ,4,Vice-governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,CE,CE,CEARÁ,5,Senador,2
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,CE,CE,CEARÁ,6,Deputado Federal,22
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,CE,CE,CEARÁ,7,Deputado Estadual,46
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,CE,CE,CEARÁ,9,1. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,CE,CE,CEARÁ,10,2. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,DF,DF,DISTRITO FEDERAL,3,Governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,DF,DF,DISTRITO FEDERAL,4,Vice-governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,DF,DF,DISTRITO FEDERAL,5,Senador,2
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,DF,DF,DISTRITO FEDERAL,6,Deputado Federal,8
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,DF,DF,DISTRITO FEDERAL,8,Deputado Distrital,24
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,DF,DF,DISTRITO FEDERAL,9,1. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,DF,DF,DISTRITO FEDERAL,10,2. Suplente,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,ES,ES,ESPÍRITO SANTO,3,Governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,ES,ES,ESPÍRITO SANTO,4,Vice-governador,1
13/11/2024,10:55:17,2018,2,Eleição Ordinária,297,Eleições Gerais Estaduais 2018,07/10/2018,01/01/2019,ES,ES,ESPÍRITO SANTO,5,Senador,2
