DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,DT_POSSE,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGA
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,BA,BA,BAHIA,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,BA,BA,BAHIA,6,Deputado Federal,39
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,BA,BA,BAHIA,7,Deputado Estadual,63
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,BA,BA,BAHIA,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,BA,BA,BAHIA,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,CE,CE,CEARÁ,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,CE,CE,CEARÁ,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,CE,CE,CEARÁ,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,CE,CE,CEARÁ,6,Deputado Federal,22
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,CE,CE,CEARÁ,7,Deputado Estadual,46
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,CE,CE,CEARÁ,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,CE,CE,CEARÁ,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,DF,DF,DISTRITO FEDERAL,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,DF,DF,DISTRITO FEDERAL,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,DF,DF,DISTRITO FEDERAL,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,DF,DF,DISTRITO FEDERAL,6,Deputado Federal,8
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,DF,DF,DISTRITO FEDERAL,8,Deputado Distrital,24
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,DF,DF,DISTRITO FEDERAL,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,DF,DF,DISTRITO FEDERAL,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,ES,ES,ESPÍRITO SANTO,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,ES,ES,ESPÍRITO SANTO,4,Vice-governador,1
