scenario_id,period_id,election_year,start_inclusive,end_exclusive,party_set
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-022,2018,2020-02-11,2020-02-18,DEM;MDB;NOVO;PP;PSDB;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-023,2018,2020-02-18,2020-04-16,DEM;NOVO;PP;PSDB;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-024,2018,2020-04-16,2020-04-17,DEM;MDB;NOVO;PP;PSDB;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-025,2018,2020-04-17,2020-05-07,DEM;NOVO;PP;PSDB;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-026,2018,2020-05-07,2020-06-17,DEM;PP;PSDB;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-027,2018,2020-06-17,2020-06-18,DEM;PP;PSD;PSDB;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-028,2018,2020-06-18,2020-09-19,DEM;PP;PSD;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-029,2018,2020-09-19,2020-12-09,DEM;PSD;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-030,2018,2020-12-09,2021-02-12,DEM;PSC;PSD;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-031,2018,2021-02-12,2021-03-31,DEM;PRB;PSC;PSD;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-032,2018,2021-03-31,2021-07-28,DEM;PR;PRB;PSC;PSD;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-033,2018,2021-07-28,2022-03-24,DEM;PP;PR;PRB;PSC;PSD;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-034,2018,2022-03-24,2022-03-27,DEM;PP;PR;PRB;PSC;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-035,2018,2022-03-27,2022-03-28,PP;PR;PSC
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-036,2018,2022-03-28,2022-03-30,PP;PR;PRB;PSC
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-037,2018,2022-03-30,2022-03-31,PP;PR;PRB
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-038,2018,2022-03-31,2022-05-11,PP;PRB;PSD
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-039,2018,2022-05-11,2022-12-30,DEM;PP;PRB;PSD;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-040,2018,2022-12-30,2023-01-01,DEM;NOVO;PRB;PSD;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-041,2022,2023-01-01,2023-09-13,MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-042,2022,2023-09-13,2023-12-04,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-043,2022,2023-12-04,2023-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-044,2022,2023-12-06,2024-12-03,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-045,2022,2024-12-03,2024-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-046,2022,2024-12-06,2025-10-08,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-047,2022,2025-10-08,2025-10-09,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-048,2022,2025-10-09,2025-11-13,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-049,2022,2025-11-13,2025-11-17,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-050,2022,2025-11-17,2025-12-08,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,CV5-051,2022,2025-12-08,2025-12-19,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS
